ITA,SCN,LOCAL,DEMONYM,FROM_CS,FROM_CSFLS,FROM_DT
Modica,Mòdica,Muòrica,,1,,
Moio Alcantara,,,,,,
Monforte San Giorgio,,,,,,
Mongiuffi Melia,,,,,,
Monreale,Murrijali,,,1,,
Montagnareale,,,,,,
Montalbano Elicona,,,,,,
Montallegro,Muntallè,,,0,,
Montedoro,,,,,,
Montelepre,,,,,,
Montemaggiore Belsito,Muntimajuri,,,1,,
Monterosso Almo,Muntirrussu,,,1,,
Montevago,Muntivagu,Muntivau,,1,,
Motta Camastra,,,,,,
Motta d'Affermo,,,,,,
Motta Sant'Anastasia,Motta (Sant'Anastasìa),,,1,,
Mussomeli,Mussumeli,,,1,,
Naro,Naru,,,1,,
Naso,,,,,,
Nicolosi,Niculosi,,,0,,
Nicosia,Nicusìa,,,1,,
Niscemi,,,,,,
Nissoria,U Casali,,,1,,
Nizza di Sicilia,,,,,,
Noto,Notu,Nuotu,,1,,
Novara di Sicilia,Nuvara,,,1,,
Oliveri,,,,,,
Pace del Mela,,,,,,
Paceco,Paceca,,,1,,
Pachino,Pachinu,"Bachinu, Pachinu",,1,,
Pagliara,,,,,,
Palagonia,,,,,,
Palazzo Adriano,Palazzu,,,1,,
Palazzolo Acreide,Palazzolu,Palazzuolu,,1,,
Palermo,Palermu,Palìejmmu,,1,,
Palma di Montechiaro,Parma (di Muntichiaru),,,1,,
Pantelleria,,,,,,
Partanna,Partanna,,,1,,
Partinico,Partinicu,,,1,,
Paternò,Patirnò,Patennò,,1,,
Patti,,,,,,
Pedara,Pidara,,,0,,
Petralia Soprana,,,,,,
Petralia Sottana,,,,,,
Petrosino,Pitrusinu,,,1,,
Pettineo,,,,,,
Piana degli Albanesi,"A Chiana, Hora e Arbëreshëvet",,,1,,
Piazza Armerina,"Chiazza, Ciazza",,,1,,
Piedimonte Etneo,,,,,,
Pietraperzia,,,,,,
Piraino,,,,,,
Poggioreale,,,,,,
Polizzi Generosa,Pulizzi,,,2,,
Pollina,,,,,,
Porto Empedocle,A Marina,,,1,,
Portopalo di Capo Passero,Portupalu (già Terranòbbili),Puortupalu,,1,,
Pozzallo,U Puzzaḍḍu,,,1,,
Priolo Gargallo,U Priolu,,,1,,
Prizzi,Prizzi,,,1,,
Racalmuto,Racarmutu,,,1,,
Raccuja,,,,,,
Raddusa,,,,,,
Raffadali,Rafadali,,,1,,
Ragalna,Ragarna,,,0,,
Ragusa,Ragusa,,,1,,
Ramacca,,,,,,
Randazzo,Rannazzu,,,1,,
Ravanusa,Rivinusa,,,1,,
Realmonte,Muntirriali,,,1,,
Regalbuto,,,,,,
Reitano,,,,,,
Resuttano,Rastanu,,,0,,
Ribera,Rivela,,,1,,
Riesi,,,,,,
Riposto,,,,,,
Roccafiorita,,,,,,
Roccalumera,,,,,,
Roccamena,,,,,,
Roccapalumba,,,,,,
Roccavaldina,,,,,,
Roccella Valdemone,,,,,,
Rodì Milici,,,,,,
Rometta,,,,,,
Rosolini,Rusalini,,,1,,
Salaparuta,,,,,,
Salemi,,,,,,
Sambuca di Sicilia,Sammuca,,,1,,
San Biagio Platani,San Brasi,,,0,,
San Cataldo,,,,,,
San Cipirello,,,,,,
San Cono,Santu Conu,,,1,,
San Filippo del Mela,Santu Fulippu,San Fulippu,,1,,
San Fratello,,,,,,
San Giovanni Gemini,San Giuvanni Gèmini,,,0,,
San Giovanni la Punta,,,,,,
San Giuseppe Jato,San Giuseppi,San Ciuseppi,,1,,
San Gregorio di Catania,,,,,,
San Marco d'Alunzio,,,,,,
San Mauro Castelverde,Santu Mauru,,,1,,
San Michele di Ganzaria,,,,,,
San Pier Niceto,,,,,,
San Piero Patti,,,,,,
San Pietro Clarenza,,,,,,
San Salvatore di Fitalia,,,,,,
San Teodoro,,,,,,
San Vito Lo Capo,Santu Vitu,,,1,,
Sant'Agata di Militello,,,,,,
Sant'Agata li Battiati,,,,,,
Sant'Alessio Siculo,,,,,,
Sant'Alfio,,,,,,
Sant'Angelo di Brolo,,,,,,
Sant'Angelo Muxaro,Sant'Àncilu Musciaru,,,0,,
Santa Caterina Villarmosa,,,,,,
Santa Cristina Gela,,,,,,
